cid,text,time,author,channel,votes,photo,heart,replies_count,video_id,video_title,video_published_at
Ugy4LJuDiY7RBarITx54AaABAg,"Здравствуйте, я смотрела интервью с вами у логопеда Алены Васильевой, подскажите пожалуйста как и какой лецитин давать ребенку 2х лет для более качественной работы по запуску речи?",2025-07-06T13:27:22Z,@МаринаР-ю2л,UCnfNH6EKZ2a7PouPqyO6WHQ,0,https://yt3.ggpht.com/XhWnA_J4QjKqANWrghjoZNSWEIoQyGa8awo8gBU_5Mmmqg5sOc5mKp89XsNLgNLDJd3owbbj11s=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
UgwhYvrYfthGtCakJJ94AaABAg,Ирс -19 можно во время простуды? Или лучше применять после выздоровления?,2025-06-12T05:49:57Z,@alpaalba6282,UC3K6ey-hCrpGWBOg1ciCOhA,0,https://yt3.ggpht.com/ytc/AIdro_mMS74d4s39KZkcHUZh8QWC63zyXKq8L7GVCMofcIY=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
UgyH3dhVLXxX3ksTdvV4AaABAg,Хочу схему🔥🔥🔥,2025-06-01T16:04:33Z,@zaitseva_nasti,UCd7JLPIoIsQn57imMnxPxtQ,0,https://yt3.ggpht.com/lFpawR9qfJtdh6YXssTCw20Ov1Y0AEfWmHgLRg7TAHtlNX0Cw6qibI-Kh7NlIbN5AbPPkUM4Eg=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
Ugx2m6wAyQxwTWahLnB4AaABAg,Лизаааа♥️♥️♥️<br>Благодарю тебя!!! Полипренолы Пихты - вообще🔥🔥🔥,2025-06-01T16:03:41Z,@zaitseva_nasti,UCd7JLPIoIsQn57imMnxPxtQ,0,https://yt3.ggpht.com/lFpawR9qfJtdh6YXssTCw20Ov1Y0AEfWmHgLRg7TAHtlNX0Cw6qibI-Kh7NlIbN5AbPPkUM4Eg=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
Ugx1NuG-VAktIRLL46N4AaABAg,"Очень полезная информация для нас , мамочек! Спасибо, Лиза🫶 С приходом в сад, простуда- это наше постоянное состояние",2025-05-16T17:27:45Z,@ВалерияЛиницкая,UCQnYEpjD3Hl55m3s0UwYs1A,0,https://yt3.ggpht.com/ytc/AIdro_lz-MYJuMNtr3y6-ZIT7ZKToyAyKGbuDL1Qn3rB4pbcB5On5xB5uUZqxPZ_naOolLvwg8w=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
UgzVOpzSji1l8uOzw4l4AaABAg,"Дети в этом году ели пыльцу и пергу всю зиму (регулярно) и воообще не болели🎉 🎉🎉<br><br>Правда, грипп все равно всех сразил в итоге)",2025-05-16T17:04:38Z,@Ольга-ш3у5о,UCzkcyw-FlspC4Ksn8hQpkzA,0,https://yt3.ggpht.com/BKv1u4seTQoveAjfyQUbq0skyRDQqhvrl_cbSWVVhS7zOKtJONOrZNdj-10IakSEEotZ8yQp=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
UgyS1Z5vgVzhK_41k5B4AaABAg,"С рождения только гомеопатия 😍 однажды купила гомеопатическую аптечку на 7 тыс рублей и счастлива!😂 <br><br>Спасибо, доктор Лиза ♥️",2025-05-16T16:51:41Z,@СофьяДробышева-п9б,UCsaSO2S1ePmJL9IF7KKDbBg,0,https://yt3.ggpht.com/ytc/AIdro_mnL4OPZDwV0ZvwJiguMBZjFKDItNkMkZtzfc4GW9JuiFYMhEu_vCOr9oFwC0xho5j1CpY=s48-c-k-c0x00ffffff-no-rj,False,0,kDHETH99xgk,КРЕПКИЙ ИММУНИТЕТ У РЕБЕНКА - ЭТО ПРОСТО И НЕДОРОГО!5 бюджетных средств до 1000 рублей #докторлиза,2025-05-16T14:30:28Z
UgyQo6PmM33KAMTEhqt4AaABAg,"я сама в детстве продукты пчнловодства ела у бабушки, а вот у сына аллергия, к сожалению. Но, кстати,  если регулярно пропивать витаминные комплексы качественные, то иммунитет ребенка тоже становится крепче намного. Тем более сейчас не обязательно в таблетках и капсулах брать. Я покупаю уже не первый раз в шипучках бэби эвалар &quot;мультивитамины от А до Zn, как газировка, только полезная. Сын сам мне напоминает, что нужно выпить каждое утро.",2025-06-10T16:04:18Z,@ТатьянаВоротынцева-б5е,UCT8V4VSnfJsFOGqGunYFxQA,0,https://yt3.ggpht.com/ytc/AIdro_lBrSZnUkI5WoXvI99B3oXlTBMmnZ88RwLKx1TYAx8=s48-c-k-c0x00ffffff-no-rj,False,0,sX9LkuXxTas,"Природные ВИТАМИНЫ ДЛЯ ДЕТЕЙ! Безопасно и вкусно, без химии и сахара от #докторлиза #педиатр",2025-05-14T14:30:41Z
UgzyEQzQi8ECRx2eCR54AaABAg,Только вчера купила ее на рынке❤ рассасываю от горла,2025-05-15T00:49:17Z,@springmelody916,UCtZUZtjINKL0I2wrttD6p0w,0,https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s48-c-k-c0x00ffffff-no-rj,False,0,sX9LkuXxTas,"Природные ВИТАМИНЫ ДЛЯ ДЕТЕЙ! Безопасно и вкусно, без химии и сахара от #докторлиза #педиатр",2025-05-14T14:30:41Z
UgyfBcgck-pzt0uhs014AaABAg,Продукты пчеловодства любим! Сын обожает маточное молочко 😍,2025-05-14T14:47:43Z,@СофьяДробышева-п9б,UCsaSO2S1ePmJL9IF7KKDbBg,0,https://yt3.ggpht.com/ytc/AIdro_mnL4OPZDwV0ZvwJiguMBZjFKDItNkMkZtzfc4GW9JuiFYMhEu_vCOr9oFwC0xho5j1CpY=s48-c-k-c0x00ffffff-no-rj,False,1,sX9LkuXxTas,"Природные ВИТАМИНЫ ДЛЯ ДЕТЕЙ! Безопасно и вкусно, без химии и сахара от #докторлиза #педиатр",2025-05-14T14:30:41Z
